epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
122,972.966,0.924,0.53773,1.09331,0.95046,0.97559,0.98948,0.79914,0.7585,0.43458,0.91624,0.018021,0.006007,0.018021,0.006007,0.018021,0.006007,0.018021,0.006007
123,1004.25,0.92016,0.53323,1.08993,0.96807,0.97318,0.98617,0.80231,0.75186,0.42743,0.91495,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974
124,1035.63,0.91973,0.53394,1.08439,0.96248,0.97415,0.99005,0.80261,0.7539,0.42898,0.91637,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
125,1067.02,0.92055,0.53553,1.08679,0.95348,0.96883,0.9887,0.80649,0.74189,0.42877,0.91149,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
126,1098.38,0.91746,0.52932,1.08258,0.96702,0.97056,0.99017,0.80056,0.75518,0.4326,0.91606,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875
127,1129.65,0.91561,0.53187,1.08475,0.96651,0.97599,0.99085,0.80779,0.74117,0.43112,0.91027,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
128,1161.11,0.91506,0.53331,1.08842,0.96086,0.97375,0.98967,0.79983,0.74362,0.44013,0.91262,0.017427,0.005809,0.017427,0.005809,0.017427,0.005809,0.017427,0.005809
129,1192.6,0.92308,0.53529,1.09201,0.95697,0.98113,0.99,0.80585,0.75092,0.4362,0.90965,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776
130,1224.24,0.90929,0.52417,1.07784,0.96153,0.97921,0.99092,0.80735,0.73588,0.42804,0.9043,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
131,1255.44,0.90891,0.52321,1.07561,0.96701,0.97522,0.99077,0.80758,0.73402,0.42822,0.90206,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
132,1286.81,0.91425,0.5265,1.08295,0.97218,0.97904,0.99132,0.80735,0.73431,0.42648,0.90162,0.017031,0.005677,0.017031,0.005677,0.017031,0.005677,0.017031,0.005677
133,1318.24,0.9063,0.52219,1.0769,0.96711,0.96915,0.98877,0.80311,0.75116,0.43466,0.90756,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
134,1349.52,0.90456,0.52437,1.07794,0.97191,0.96837,0.98975,0.80653,0.74378,0.43636,0.90749,0.016833,0.005611,0.016833,0.005611,0.016833,0.005611,0.016833,0.005611
135,1380.91,0.90546,0.52355,1.07573,0.97678,0.97219,0.99125,0.80518,0.74007,0.42367,0.90556,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578
136,1412.15,0.91528,0.52875,1.08946,0.9714,0.97115,0.99116,0.8103,0.7337,0.4246,0.90163,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
137,1443.44,0.91158,0.52897,1.08193,0.95846,0.9793,0.99095,0.81146,0.73143,0.42141,0.90076,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512
138,1474.73,0.89403,0.51832,1.07365,0.95992,0.97657,0.99041,0.81125,0.72583,0.43043,0.90392,0.016437,0.005479,0.016437,0.005479,0.016437,0.005479,0.016437,0.005479
139,1506.12,0.89322,0.51696,1.07041,0.96248,0.96811,0.98865,0.80776,0.73166,0.43033,0.90387,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
140,1537.63,0.90061,0.5195,1.07666,0.97231,0.97258,0.99037,0.80684,0.7322,0.432,0.90573,0.016239,0.005413,0.016239,0.005413,0.016239,0.005413,0.016239,0.005413
141,1569.05,0.89998,0.51885,1.07706,0.96766,0.97741,0.99156,0.81005,0.73282,0.42868,0.90749,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
142,1600.43,0.89334,0.5155,1.07179,0.96576,0.97533,0.99083,0.81056,0.73341,0.43309,0.90678,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
143,1631.69,0.88994,0.51439,1.07278,0.96428,0.97243,0.98976,0.80623,0.73671,0.42925,0.90694,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314
144,1663.24,0.89455,0.51792,1.07315,0.96683,0.97425,0.99041,0.80847,0.73629,0.42631,0.9029,0.015843,0.005281,0.015843,0.005281,0.015843,0.005281,0.015843,0.005281
145,1694.62,0.88289,0.50928,1.06423,0.96326,0.97813,0.99093,0.80573,0.74379,0.42717,0.90647,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
146,1725.92,0.89727,0.51723,1.07286,0.96296,0.97935,0.99119,0.80284,0.73924,0.42264,0.90651,0.015645,0.005215,0.015645,0.005215,0.015645,0.005215,0.015645,0.005215
147,1757.3,0.88822,0.5114,1.06829,0.96667,0.9695,0.99074,0.80678,0.73665,0.42135,0.90701,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182
148,1788.58,0.8897,0.51674,1.07338,0.96075,0.97165,0.98877,0.80432,0.7363,0.43302,0.90722,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
149,1819.93,0.87831,0.50755,1.06557,0.96884,0.97098,0.98994,0.80703,0.73725,0.42984,0.9055,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116
150,1851.32,0.8883,0.5104,1.07104,0.96447,0.97395,0.99051,0.80532,0.73956,0.42575,0.90592,0.015249,0.005083,0.015249,0.005083,0.015249,0.005083,0.015249,0.005083
151,1883.13,0.88659,0.51036,1.06731,0.96424,0.97964,0.99062,0.80699,0.73015,0.43202,0.90078,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
152,1914.58,0.88042,0.50983,1.06726,0.97484,0.97536,0.99159,0.80622,0.73843,0.42387,0.90691,0.015051,0.005017,0.015051,0.005017,0.015051,0.005017,0.015051,0.005017
153,1945.9,0.88002,0.50595,1.06428,0.96515,0.96973,0.99015,0.80374,0.73839,0.42481,0.90973,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984
154,1977.36,0.88114,0.50648,1.06321,0.98121,0.95591,0.9908,0.80629,0.73349,0.42154,0.90749,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
155,2008.79,0.87964,0.50854,1.06778,0.96714,0.97221,0.99058,0.80579,0.73563,0.42483,0.90784,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918
156,2040.11,0.87392,0.50453,1.06059,0.96173,0.9785,0.99035,0.80302,0.7397,0.42774,0.90976,0.014655,0.004885,0.014655,0.004885,0.014655,0.004885,0.014655,0.004885
157,2071.49,0.87853,0.50475,1.06042,0.96045,0.98076,0.99112,0.80955,0.72693,0.42015,0.90357,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
158,2102.97,0.87813,0.50692,1.06339,0.96955,0.97369,0.9919,0.8116,0.72684,0.42634,0.9004,0.014457,0.004819,0.014457,0.004819,0.014457,0.004819,0.014457,0.004819
159,2134.25,0.87373,0.50215,1.06234,0.96636,0.97569,0.99146,0.80968,0.72816,0.43033,0.90462,0.014358,0.004786,0.014358,0.004786,0.014358,0.004786,0.014358,0.004786
160,2165.68,0.87139,0.50137,1.05854,0.96973,0.97555,0.99052,0.80375,0.72979,0.43261,0.90675,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
161,2196.97,0.87775,0.50437,1.06175,0.96202,0.98262,0.99032,0.80519,0.72878,0.4321,0.90869,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
